#x_m,y_m,w_tr_right_m,w_tr_left_m
15.26,26.78,12.771879137010027,12.82
15.280000000000001,26.76,12.778467285689942,12.84
15.3,26.76,12.79552954602429,12.84
15.32,26.740000000000002,12.802196786898762,12.86
15.34,26.740000000000002,12.81928893700414,12.86
15.38,26.7,12.832837942028915,12.9
15.4,26.7,12.849981132062037,12.9
15.42,26.68,12.856862373880178,12.92
15.44,26.68,12.874034804836095,12.92
15.46,26.66,12.880993938708052,12.94
15.48,26.66,12.898195366289368,12.94
15.5,26.64,12.905232053594558,12.96
15.52,26.64,12.922462234887364,12.96
15.540000000000001,26.62,12.92957613729709,12.98
15.56,26.62,12.946834830775423,12.98
15.58,26.6,12.954025610279471,13.0
15.6,26.6,12.971312575809453,13.0
15.64,26.560000000000002,12.985903032668359,13.040000000000001
15.66,26.560000000000002,13.003238414651886,13.040000000000001
15.700000000000001,26.52,13.018092263805611,13.08
15.72,26.52,13.035475428878579,13.08
15.76,26.48,13.050591065079631,13.120000000000001
15.780000000000001,26.48,13.068021384004409,13.120000000000001
15.8,26.46,13.075681800933117,13.14
15.82,26.46,13.093138997283027,13.14
15.84,26.44,13.100874045779406,13.16
15.860000000000001,26.44,13.118357888441924,13.16
15.9,26.400000000000002,13.134031180694095,13.200000000000001
15.92,26.400000000000002,13.151560795716485,13.200000000000001
15.94,26.38,13.15949851580065,13.22
15.96,26.38,13.177054172389532,13.22
16.0,26.34,13.193130618073234,13.26
16.02,26.34,13.210731060453734,13.26
16.04,26.32,13.21886926290138,13.280000000000001
16.06,26.32,13.236495150880963,13.280000000000001
16.1,26.28,13.252970372779691,13.32
16.12,26.28,13.270640072798347,13.32
16.14,26.26,13.278976569904637,13.34
16.16,26.26,13.29667112841657,13.34
16.18,26.240000000000002,13.305079350372255,13.36
16.2,26.240000000000002,13.322798548401124,13.36
16.240000000000002,26.2,13.339810770167105,13.4
16.26,26.2,13.357572460285281,13.4
16.3,26.16,13.374832122389005,13.44
16.32,26.16,13.3926357162074,13.44
16.36,26.12,13.410141201305656,13.48
16.38,26.12,13.427986115121753,13.48
16.42,26.080000000000002,13.445735805655112,13.52
16.44,26.080000000000002,13.463621460498697,13.52
16.46,26.060000000000002,13.472591682883195,13.540000000000001
16.48,26.060000000000002,13.490500350959286,13.540000000000001
16.5,26.04,13.499539560719269,13.56
16.52,26.04,13.51747103463844,13.56
16.56,26.0,13.535738229458818,13.6
16.580000000000002,26.0,13.553709184299349,13.6
16.62,25.96,13.572215286059688,13.64
16.64,25.96,13.590225159017278,13.64
16.68,25.92,13.608968555893043,13.68
16.7,25.92,13.627016789039642,13.68
16.72,25.900000000000002,13.636481040488746,13.700000000000001
16.740000000000002,25.900000000000002,13.65455086439976,13.700000000000001
16.76,25.88,13.664081911024267,13.72
16.78,25.88,13.68217312775269,13.72
16.82,25.84,13.701418368376991,13.76
16.84,25.84,13.719546734934518,13.76
16.9,25.78,13.748837408069965,13.82
16.92,25.78,13.767018034858289,13.82
16.96,25.740000000000002,13.78682487380457,13.86
16.98,25.740000000000002,13.805041358616313,13.86
17.0,25.72,13.81503429471769,13.88
17.02,25.72,13.833270881986332,13.88
17.06,25.68,13.853434673790034,13.92
17.080000000000002,25.68,13.871706275004401,13.92
17.12,25.64,13.892095717563606,13.96
17.14,25.64,13.91040181127001,13.96
17.18,25.6,13.93101531643868,14.0
17.2,25.6,13.949355386218574,14.0
17.240000000000002,25.560000000000002,13.970191369637357,14.040000000000001
17.26,25.560000000000002,13.988564904117437,14.040000000000001
17.28,25.54,13.999069414375361,14.06
17.3,25.54,14.017461635114554,14.06
17.34,25.5,14.038642595479674,14.1
17.36,25.5,14.057067475805734,14.1
17.42,25.44,14.089237385038594,14.16
17.44,25.44,14.107708295937025,14.16
17.5,25.38,14.140343874888243,14.22
17.52,25.38,14.158859845468669,14.22
17.54,25.36,14.169845572277012,14.24
17.56,25.36,14.18837893667422,14.24
17.6,25.32,14.210516760197088,14.280000000000001
17.62,25.32,14.22908062729849,14.280000000000001
17.68,25.26,14.26267369888589,14.34
17.7,25.26,14.281280598094977,14.34
17.740000000000002,25.22,14.303931447065441,14.38
17.76,25.22,14.32256771083088,14.38
17.78,25.2,14.333974345029924,14.4
17.8,25.2,14.352626884728023,14.4
17.84,25.16,14.375601510598477,14.44
17.86,25.16,14.394282679467768,14.44
17.92,25.1,14.429120000863168,14.5
17.94,25.1,14.447841593982607,14.5
18.0,25.04,14.483117952902207,14.56
18.02,25.04,14.501879076143384,14.56
18.06,25.0,14.525642364735932,14.6
18.080000000000002,25.0,14.544430400654285,14.6
18.12,24.96,14.568393367359104,14.64
18.14,24.96,14.587207878721106,14.64
18.2,24.900000000000002,14.623514901646686,14.700000000000001
18.22,24.900000000000002,14.64236683504295,14.700000000000001
18.26,24.86,14.666811208746196,14.74
18.28,24.86,14.685688582229186,14.74
18.32,24.82,14.710327594066253,14.780000000000001
18.34,24.82,14.729229987015202,14.780000000000001
18.42,24.740000000000002,14.779064529805519,14.86
18.44,24.740000000000002,14.798013028024421,14.86
18.48,24.7,14.823205969834344,14.9
18.5,24.7,14.84217832201159,14.9
18.54,24.66,14.867560381409993,14.94
18.56,24.66,14.886556185092834,14.94
18.64,24.580000000000002,14.937861650177968,15.02
18.66,24.580000000000002,14.956900728988256,15.02
18.7,24.54,14.982821587732206,15.06
18.72,24.54,15.00188300176313,15.06
18.76,24.5,15.027987555089615,15.1
18.78,24.5,15.047070919756923,15.1
18.88,24.400000000000002,15.113091245783352,15.200000000000001
18.900000000000002,24.400000000000002,15.132224567009066,15.200000000000001
18.94,24.36,15.158933125378487,15.24
18.96,24.36,15.178087173976142,15.24
19.02,24.3,15.218476238096981,15.3
19.04,24.3,15.237659671447005,15.3
19.1,24.240000000000002,15.278431043953347,15.36
19.12,24.240000000000002,15.29764313519708,15.36
19.16,24.2,15.32503736084592,15.4
19.18,24.2,15.3442687985184,15.4
19.28,24.1,15.413475266366973,15.5
19.3,24.1,15.43275086647927,15.5
19.36,24.04,15.474759840703102,15.56
19.38,24.04,15.494061784201042,15.56
19.44,23.98,15.536436239009022,15.620000000000001
19.46,23.98,15.555763848841584,15.620000000000001
19.52,23.92,15.598499929680907,15.68
19.54,23.92,15.617852540212748,15.68
19.6,23.86,15.660946422922903,15.74
19.62,23.86,15.680323379832883,15.74
19.72,23.76,15.75291924080598,15.84
19.740000000000002,23.76,15.772334401687347,15.84
19.8,23.7,15.816349774224777,15.9
19.82,23.7,15.835787631032872,15.9
19.92,23.6,15.909898834756762,16.0
19.94,23.6,15.929372308818243,16.0
19.98,23.56,15.959278712706132,16.04
20.0,23.56,15.978766742340525,16.04
20.12,23.44,16.069365500832145,16.16
20.14,23.44,16.088893231505867,16.16
20.2,23.38,16.1346787087019,16.22
20.22,23.38,16.15422604654171,16.22
20.32,23.28,16.231247698233588,16.32
